ID,作成日,更新日,タスク名,状態,依存タスク,ドキュメント
T-000,2026-08-16,不明,(サンプル行) 記載形式の例,未着手,-,docs/tasks/T-000.md
T-001,2026-08-16,2026-08-17,Judgeルール3・5をEVベースに一本化,実環境検証待ち,無し,docs/tasks/T-001.md
T-002,2026-08-16,2026-08-17,セクターETF比較材料を審理に追加,実環境検証待ち,T-001（推奨）,docs/tasks/T-002.md
T-003,2026-08-16,2026-08-17,決算解説文から乖離原因を抽出し検証付きで渡す,実環境検証待ち,T-005（ブロッカー、解消済み）／T-001（推奨）,docs/tasks/T-003.md
T-004,2026-08-17,不明,Overreaction銘柄スキャナーを新設し審理に統合,未着手,T-001（推奨）,docs/tasks/T-004.md
T-005,2026-08-17,2026-08-17,順位付け後に審理3役への決算説明文を作り直す,完了,T-006（ブロッカー、解消済み）,docs/tasks/T-005.md
T-006,2026-08-17,2026-08-17,案件生成が保存済みの決算読み取りを捨てる問題,完了,無し,docs/tasks/T-006.md
T-007,2026-08-17,2026-08-17,完了条件にUserが打つコマンドの出力を必須化,完了,無し,docs/tasks/T-007.md
T-008,2026-08-17,2026-08-17,EWのニュース欄を決算理由の情報源に追加,実装完了・実環境検証待ち,無し,docs/tasks/T-008.md
T-009,2026-08-17,2026-08-17,タスク台帳をCSV+個別詳細ファイル形式に再構成,完了,無し,docs/tasks/T-009.md
T-010,2026-08-17,2026-08-17,CSVにドキュメント列（個別ファイルへの相対パス）を追加,完了,T-009（ブロッカー、解消済み）,docs/tasks/T-010.md
T-011,2026-08-18,2026-08-18,抜粋モデルをGemini 3.5 Flash Liteへ移行し失敗理由を記録,完了,T-008（ブロッカー、解消済み）,docs/tasks/T-011.md
T-012,2026-08-18,2026-08-18,決算発表文の変換が句読点前に入れる空白を除去,完了,T-008（ブロッカー、解消済み）/T-011（推奨）,docs/tasks/T-012.md
T-013,2026-08-18,2026-08-18,却下ブロックを近似一致で救い件数をレポートに出す,完了,T-012（ブロッカー、解消済み）,docs/tasks/T-013.md
T-014,2026-08-18,2026-08-18,走査レポートの表に実績値・ガイダンス・エラーを追加,実装完了・実環境検証待ち,無し,docs/tasks/T-014.md
T-015,2026-08-18,2026-08-18,判定を任せる2工程にも指示文ファイルを出し形式エラーで材料を失わないようにする,実装完了・実環境検証待ち,無し,docs/tasks/T-015.md
T-016,2026-08-18,2026-08-19,見通しの読み取り漏れのまま採点・記録が進むのを止める,実装完了・実環境検証待ち,無し,docs/tasks/T-016.md
T-017,2026-08-19,2026-08-19,審理レポートのファイル名にティッカーを含める,未着手,無し,docs/tasks/T-017.md
T-018,2026-08-19,2026-08-19,走査CSVにガイダンス6列追加・エラー列と但し書きを修正,実装完了・実環境検証待ち,T-020（ブロッカー）,docs/tasks/T-018.md
T-019,2026-08-19,2026-08-19,走査CSVのファイル名を日付＋走査番号の形式に変更,未着手,無し,docs/tasks/T-019.md
T-020,2026-08-19,2026-08-19,複数期の見通しを全期記録し下振れ優先で採点,実装完了・実環境検証待ち,無し,docs/tasks/T-020.md
